"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Centers for Medicare & Medicaid Services","MD","Health Plan","2342357","07/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Gladden Farms Family Dentistry","AZ","Healthcare Provider","3085","07/27/2023","Hacking/IT Incident","Network Server","No",""
"CareSource","OH","Business Associate","3180537","07/27/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Saint Francis Health System","OK","Healthcare Provider","18911","07/26/2023","Hacking/IT Incident","Network Server","No",""
"Hillsborough County, Florida (County Government)","FL","Healthcare Provider","70636","07/26/2023","Hacking/IT Incident","Other","No",""
"Life Management Center of Northwest Florida, Inc. ","FL","Healthcare Provider","19107","07/25/2023","Hacking/IT Incident","Network Server","No",""
"Family Vision of Anderson, P.A.","SC","Healthcare Provider","62631","07/25/2023","Hacking/IT Incident","Network Server","No",""
"Bi-Bett Corporation","CA","Business Associate","4722","07/25/2023","Hacking/IT Incident","Email","Yes",""
"Johns Hopkins Medicine","MD","Healthcare Provider","310405","07/25/2023","Hacking/IT Incident","Network Server","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","98437","07/24/2023","Hacking/IT Incident","Network Server","No",""
"Sutter Senior Care ","CA","Healthcare Provider","519","07/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Paramedic Billing Services","IL","Healthcare Clearing House","501","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Harris County Hospital District d/b/a Harris Health System ","TX","Healthcare Provider","455676","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Batesville Tool & Die, Inc.","IN","Health Plan","574","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Pennsylvania Department of Human Services","PA","Healthcare Provider","16390","07/21/2023","Unauthorized Access/Disclosure","Other","No",""
"New England Life Care, Inc.","ME","Healthcare Provider","51854","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Mindful Innovations, PLLC","NC","Healthcare Provider","1900","07/20/2023","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop","No",""
"Stephen Harkins, DDS, PC, dba: Harkins Pain & Sleep Management Group","AZ","Healthcare Provider","6411","07/18/2023","Hacking/IT Incident","Network Server","No",""
"Associated Pathologists, LLC dba PathGroup Health Plan","TN","Health Plan","2031","07/18/2023","Hacking/IT Incident","Network Server","Yes",""
"ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED","OH","Healthcare Provider","750","07/18/2023","Hacking/IT Incident","Network Server","No",""
"IVF Michigan, P.C.","MI","Healthcare Provider","9383","07/18/2023","Hacking/IT Incident","Network Server","No",""
"Fairfax Oral and Maxillofacial Surgery ","VA","Healthcare Provider","208194","07/14/2023","Hacking/IT Incident","Network Server","No",""
"Pension Benefit Information, LLC","MN","Business Associate","1866694","07/14/2023","Hacking/IT Incident","Network Server","Yes",""
"The Pavillion at Health Park, LLC dba Park Royal Hospital","FL","Healthcare Provider","500","07/14/2023","Hacking/IT Incident","Email","No",""
"Care N' Care Insurance Company, Inc.","TX","Health Plan","33032","07/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Wake Family Eye Care","NC","Healthcare Provider","14264","07/14/2023","Hacking/IT Incident","Network Server","No",""
"East Houston Med And Ped Clinic","TX","Healthcare Provider","10000","07/13/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Konen & Associates dba Unified Pain Management ","TX","Healthcare Provider","500","07/12/2023","Hacking/IT Incident","Email","No",""
"Molina Healthcare","CA","Health Plan","7702","07/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Charles George Department of Veterans Affairs Medical Center","NC","Healthcare Provider","1541","07/11/2023","Unauthorized Access/Disclosure","Email","No",""
"The Vitality Group, LLC","IL","Business Associate","17971","07/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Arizona State Urological Institute ","AZ","Healthcare Provider","1626","07/10/2023","Unauthorized Access/Disclosure","Email","No",""
"Catholic Charities of the Archdiocese of Newark","NJ","Healthcare Provider","501","07/07/2023","Hacking/IT Incident","Network Server","No",""
"Precision Anesthesia Billing LLC","FL","Business Associate","209200","07/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Miracle-Ear Flagship, LLC","MN","Healthcare Provider","3560","07/07/2023","Hacking/IT Incident","Email","No",""
"Parsley Health, Inc. ","NY","Business Associate","1004","07/07/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Norton Healthcare Inc.","KY","Healthcare Provider","501","07/07/2023","Hacking/IT Incident","Network Server","No",""
"Public Health Management Corporation","PA","Healthcare Provider","501","07/06/2023","Hacking/IT Incident","Network Server","No",""
"edgeMED Healthcare, LLC","FL","Business Associate","6700","07/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Phoenician Medical Center, Inc","AZ","Healthcare Provider","162500","07/05/2023","Hacking/IT Incident","Network Server","No",""
"Mountain View Hospital ","ID","Healthcare Provider","1043","07/03/2023","Hacking/IT Incident","Network Server","No",""
"AHCCCS","AZ","Health Plan","2632","06/30/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Deanco Healthcare LLC dba Mission Community Hospital","CA","Healthcare Provider","500","06/30/2023","Hacking/IT Incident","Network Server","No",""
"Imagine360","PA","Business Associate","132807","06/30/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Orrick, Herrington & Sutcliffe LLP","CA","Business Associate","40823","06/30/2023","Hacking/IT Incident","Network Server","Yes",""
"ARx Patient Solutions","KS","Healthcare Provider","41166","06/30/2023","Unauthorized Access/Disclosure","Email","No",""
"Mount Desert Island Hospital, Inc.","ME","Healthcare Provider","24180","06/30/2023","Hacking/IT Incident","Network Server","No",""
"South Suburban Surgical Suites, LLC","IN","Healthcare Provider","5340","06/30/2023","Hacking/IT Incident","Email","No",""
"Advanced Medical Management, LLC","MD","Business Associate","319485","06/29/2023","Hacking/IT Incident","Network Server","Yes",""
"Partnership Health Center","MT","Healthcare Provider","8331","06/29/2023","Unauthorized Access/Disclosure","Email","No",""
"Henrietta Johnson Medical Center","DE","Healthcare Provider","500","06/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Itasca County Health & Human Services","MN","Healthcare Provider","1413","06/27/2023","Hacking/IT Incident","Email","No",""
"Activate Healthcare LLC","IL","Healthcare Provider","93761","06/23/2023","Hacking/IT Incident","Network Server","No",""
"Senior Choice, Inc. d/b/a The Atrium(216 Main St, Johnstown, PA) Beacon Ridge(1515 Wayne Ave, Indiana, PA) & The Patriot(495 W Patriot St, Somerset PA","PA","Healthcare Provider","500","06/23/2023","Hacking/IT Incident","Network Server","No",""
"The Williamsport Home","PA","Healthcare Provider","500","06/23/2023","Hacking/IT Incident","Network Server","No",""
"Desert Physicians Management","CA","Business Associate","56556","06/22/2023","Hacking/IT Incident","Network Server","Yes",""
"GlobalHealth Holdings, LLC","OK","Health Plan","622","06/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Vitra Home Care, LLC","MA","Business Associate","658","06/22/2023","Hacking/IT Incident","Email","Yes",""
"Limbach Facility Services LLC Group Benefit Plan","PA","Health Plan","1392","06/22/2023","Hacking/IT Incident","Network Server","No",""
"DMS Health Technologies, Inc. ","ND","Healthcare Provider","48336","06/21/2023","Hacking/IT Incident","Network Server","No",""
"Murfreesboro Medical Clinic & SurgiCenter","TN","Healthcare Provider","559000","06/21/2023","Hacking/IT Incident","Network Server","No",""
"City of San Luis","AZ","Healthcare Provider","6848","06/20/2023","Hacking/IT Incident","Email","No",""
"Community Research Foundation","CA","Healthcare Provider","30236","06/20/2023","Hacking/IT Incident","Network Server","No",""
"Quatela Center for Plastic Surgery","NY","Healthcare Provider","1085","06/20/2023","Unauthorized Access/Disclosure","Email","No",""
"Kannact, Inc.","OR","Business Associate","103547","06/20/2023","Hacking/IT Incident","Network Server","Yes",""
"VINCERA IMAGING LLC","PA","Healthcare Provider","5000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"VINCERA REHAB LLC","PA","Healthcare Provider","5000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"VINCERA SURGERY CENTER","PA","Healthcare Provider","5000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"CORE PERFORMANCE PHYSICIANS, DBA VINCERA CORE PHYSICIANS","PA","","10000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"Peachtree Orthopaedic Clinic, P.A.","GA","Healthcare Provider","34691","06/19/2023","Hacking/IT Incident","Network Server","No",""
"Atrium Health Wake Forest Baptist ","NC","Healthcare Provider","3679","06/16/2023","Hacking/IT Incident","Email","No",""
"New Horizons Medical, Inc","MA","Healthcare Provider","12317","06/16/2023","Hacking/IT Incident","Network Server","No",""
"Parker Drilling Company Group Health and Flexible Benefit Plan","TX","Health Plan","5973","06/15/2023","Hacking/IT Incident","Network Server","No",""
"Great Valley Cardiology","PA","Healthcare Provider","181764","06/12/2023","Hacking/IT Incident","Network Server","No",""
"Idaho Department of Health & Welfare","ID","Health Plan","2501","06/12/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Atlanta Women's Health Group, P.C.","GA","Healthcare Provider","33839","06/11/2023","Hacking/IT Incident","Network Server","No",""
"HC3, Inc","AL","Business Associate","1105","06/11/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Valley Obstetrics & Gynecology PC","UT","Healthcare Provider","500","06/09/2023","Hacking/IT Incident","Network Server","No",""
"Uponor North America","MN","Health Plan","1048","06/08/2023","Hacking/IT Incident","Network Server","No",""
"Intellihartx, LLC","TN","Business Associate","489830","06/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Marshall & Melhorn, LLC","OH","Business Associate","9412","06/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services","UT","Health Plan","5800","06/06/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Ascension Providence","TX","Healthcare Provider","1415","06/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Ascension Seton","TX","Healthcare Provider","17191","06/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Southeast Nursing and Rehab Center","TX","Healthcare Provider","600","06/06/2023","Improper Disposal","Other, Paper/Films","No",""
"Enzo Clinical Labs, Inc.","NY","Healthcare Provider","2470000","06/05/2023","Hacking/IT Incident","Network Server","No",""
"South Jersey Behavorial Health Resources, Inc.","NJ","Healthcare Provider","501","06/04/2023","Hacking/IT Incident","Network Server","No",""
"John N. Evans, DPM","MI","Healthcare Provider","15512","06/03/2023","Hacking/IT Incident","Network Server","No",""
"Unified Operations Virginia LP","FL","Business Associate","501","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"Mississippi Children’s Home Society, CARES Center, Inc., Mississippi Children’s Home Services, Inc., d.b.a. Canopy Children’s Solutions","MS","Healthcare Provider","501","06/02/2023","Hacking/IT Incident","Network Server","No",""
"CareNet Medical Group, PC","NY","Healthcare Provider","10059","06/02/2023","Hacking/IT Incident","Network Server","No",""
"T. Rowe Price Group, Inc.","MD","Health Plan","684","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"Elgon Information Systems","MA","Business Associate","31248","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"EpiSource","MN","Business Associate","1206","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"Mercy Medical Center - Clinton, Inc.","IA","Healthcare Provider","20865","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Petaluma Health Center","CA","Healthcare Provider","124862","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Maimonides Medical Center","NY","Healthcare Provider","33000","06/01/2023","Hacking/IT Incident","Network Server","No",""
"Pain Relief Centers PA","NC","Healthcare Provider","7000","06/01/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"iSpace, Inc.","CA","Business Associate","24382","05/31/2023","Hacking/IT Incident","Network Server","Yes",""
"Advanced Healthcare Solutions","TX","Health Plan","3690","05/31/2023","Hacking/IT Incident","Network Server","No",""
"Builders FirstSource Flex Plan","TX","Health Plan","3690","05/30/2023","Hacking/IT Incident","Network Server","No",""
"Alvaria, Inc.","MA","Business Associate","25067","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","1389","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","1191","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","1518","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","524","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","507","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","983","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Onix Group","PA","Business Associate","319500","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","803","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"North Shore Medical Labs","NY","Healthcare Provider","500","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Alvaria, Inc.","MA","Business Associate","1147","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","537","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","796","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","1097","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Alvaria, Inc.","MA","Business Associate","916","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Sparta Community Hospital District","IL","Healthcare Provider","900","05/26/2023","Hacking/IT Incident","Email","No",""
"Managed Care of North America (MCNA)","GA","Business Associate","8861076","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"South Jersey Behavioral Health Resources, Inc.","NJ","Healthcare Provider","2193","05/26/2023","Hacking/IT Incident","Email","No",""
"Valley Orthopaedic Specialists","CT","Healthcare Provider","5062","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Lancaster Orthopedic Group","PA","Healthcare Provider","1784","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Albany ENT & Allergy Services, PC.","NY","Healthcare Provider","224486","05/25/2023","Hacking/IT Incident","Network Server","No",""
"Alaska Railroad Corporation Welfare Benefits Plan","AK","Health Plan","3549","05/25/2023","Hacking/IT Incident","Network Server","No",""
"Asian Health Services","CA","Healthcare Provider","6270","05/25/2023","Hacking/IT Incident","Email","No",""
"Goodwill Industries of Greater New York and Northern NJ, Inc.","NY","Healthcare Provider","805","05/24/2023","Hacking/IT Incident","Email","No",""
"Vascular Center of Intervention, Inc.","CA","Healthcare Provider","3833","05/24/2023","Hacking/IT Incident","Network Server","No",""
"Harvard Pilgrim Health Care","MA","Health Plan","2624191","05/24/2023","Hacking/IT Incident","Network Server","No",""
"MedInform, Inc.","OH","Business Associate","14453","05/24/2023","Hacking/IT Incident","Network Server","Yes",""
"UI Community Home Care, a subsidiary of University of Iowa Health System ","IA","Healthcare Provider","67897","05/24/2023","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Culbertson Memorial Hospital ","IL","Healthcare Provider","69765","05/24/2023","Hacking/IT Incident","Network Server","No",""
"Grant Regional Health Center","WI","Healthcare Provider","4135","05/23/2023","Hacking/IT Incident","Email","No",""
"Topcon Healthcare Solutions, Inc.","NJ","Business Associate","4209","05/22/2023","Hacking/IT Incident","Network Server","Yes",""
"PillPack LLC","NH","Healthcare Provider","19032","05/19/2023","Hacking/IT Incident","Network Server","No",""
"PartsSource, Inc. Welfare Benefit Plan","OH","Health Plan","1474","05/19/2023","Hacking/IT Incident","Network Server","No",""
"Tennessee Orthopaedic Clinics ","TN","Healthcare Provider","500","05/19/2023","Hacking/IT Incident","Network Server","No",""
"Hiawatha Harris MD, Inc. dba Pathways to Wellness Medication Clinics","CA","Healthcare Provider","9182","05/18/2023","Hacking/IT Incident","Network Server","No",""
"University of Missouri Health Care ","MO","Healthcare Provider","736","05/17/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Clarke County Hospital   ","IA","Healthcare Provider","28003","05/17/2023","Hacking/IT Incident","Network Server","No",""
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service","NJ","Health Plan","552","05/16/2023","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Buckeye Health Plan","OH","Health Plan","686","05/16/2023","Unauthorized Access/Disclosure","Email","No",""
"Essen Medical Associates, P.C.","NY","Healthcare Provider","500","05/16/2023","Hacking/IT Incident","Network Server","No",""
"Lehigh Valley Health Network (blackcat)","PA","Healthcare Provider","248359","05/15/2023","Hacking/IT Incident","Network Server","No",""
"R&B Corporation of Virginia d/b/a Credit Control Corporation","VA","Business Associate","345523","05/13/2023","Hacking/IT Incident","Network Server","Yes",""
"PharMerica Corporation","KY","Healthcare Provider","5815591","05/12/2023","Hacking/IT Incident","Network Server","No",""
"Great Expressions Dental Centers","MI","Healthcare Provider","528","05/12/2023","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services","IL","Health Plan","50839","05/12/2023","Hacking/IT Incident","Network Server","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","1116","05/12/2023","Unauthorized Access/Disclosure","Email","No",""
"Catholic Health System","NY","Healthcare Provider","12759","05/11/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"IMA Financial Group, Inc.","KS","Business Associate","5242","05/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Uintah Basin Healthcare","UT","Healthcare Provider","103974","05/10/2023","Hacking/IT Incident","Network Server","No",""
"Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")","AZ","Healthcare Provider","1034","05/09/2023","Theft","Desktop Computer","No",""
"ASAS Health, LLC","TX","Healthcare Provider","25527","05/06/2023","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","1971","05/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","26561","05/05/2023","Hacking/IT Incident","Network Server","No",""
"Our Sunday Visitor, Inc.","IN","Health Plan","965","05/05/2023","Hacking/IT Incident","Network Server","No",""
"People Incorporated of Sequoyah County","OK","Healthcare Provider","8725","05/05/2023","Hacking/IT Incident","Network Server","No",""
"New Mexico Department of Health","NM","Healthcare Provider","49000","05/04/2023","Unauthorized Access/Disclosure","Other","No",""
"Methodist Family Health","AR","Healthcare Provider","5259","05/03/2023","Hacking/IT Incident","Network Server","No",""
"Northwest Health – La Porte","IN","Healthcare Provider","10256","05/02/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Herbert J. Thomas Memorial Hospital Association dba Thomas Memorial Hospital ","WV","Healthcare Provider","2563","05/02/2023","Hacking/IT Incident","Network Server","Yes",""
"University Urology","NY","Healthcare Provider","56816","05/01/2023","Hacking/IT Incident","Network Server","No",""
"Summit Eye & Optical","NJ","Healthcare Provider","5727","05/01/2023","Hacking/IT Incident","Network Server","No",""
"Link Audiology LLC","WA","Healthcare Provider","7200","04/28/2023","Hacking/IT Incident","Email","No",""
"HealthPlan Services, Inc.","FL","Business Associate","9349","04/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers","VA","Healthcare Provider","5272","04/28/2023","Hacking/IT Incident","Email","No",""
"Allina Health","MN","Healthcare Provider","1042","04/28/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Unlimited Care, Inc. ","NY","Healthcare Provider","8453","04/27/2023","Hacking/IT Incident","Network Server","No",""
"Delphi Drug & Alcohol Council","NY","Healthcare Provider","6288","04/27/2023","Hacking/IT Incident","Email","No",""
"University of California, San Francisco","CA","Healthcare Provider","676","04/26/2023","Hacking/IT Incident","Email","No",""
"CounSol, LLC","FL","Business Associate","4277","04/25/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","17000","04/25/2023","Hacking/IT Incident","Email","No",""
"Mars Area School District  ","PA","Health Plan","1270","04/24/2023","Hacking/IT Incident","Network Server","No",""
"Upstream RollCo, LLC","AL","Healthcare Provider","748678","04/22/2023","Hacking/IT Incident","Email","No",""
"Robeson Health Care Corporation","NC","Healthcare Provider","15045","04/21/2023","Hacking/IT Incident","Network Server","No",""
"Modern Cardiology Associates","","Healthcare Provider","10000","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Graceworks Lutheran Services","OH","Healthcare Provider","6737","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Morgan Stanley","NY","Health Plan","535","04/18/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Ethan Health, LLC","KY","Healthcare Provider","4047","04/14/2023","Hacking/IT Incident","Email","No",""
"MiniMed Distribution Corp.","CA","Healthcare Provider","58374","04/14/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Dallas County","TX","Healthcare Provider","501","04/14/2023","Improper Disposal","Desktop Computer","No",""
"United Steelworkers Local 286","PA","Health Plan","37965","04/14/2023","Hacking/IT Incident","Email","No",""
"Henry County Hospital","OH","Healthcare Provider","3689","04/14/2023","Hacking/IT Incident","Network Server","Yes",""
"NationsBenefits Holdings, LLC","FL","Business Associate","3037303","04/13/2023","Hacking/IT Incident","Network Server","Yes",""
"Cummins Behavioral Health Systems","IN","Healthcare Provider","501","04/12/2023","Hacking/IT Incident","Network Server","No",""
"Retina & Vitreous of Texas, PLLC","TX","Healthcare Provider","35766","04/10/2023","Hacking/IT Incident","Network Server","No",""
"Yukon Kuskokwim Health Corporation ","AK","Healthcare Provider","51787","04/10/2023","Hacking/IT Incident","Network Server","No",""
"Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME)","IA","Health Plan","20815","04/10/2023","Hacking/IT Incident","Network Server","Yes",""
"La Clínica de La Raza, Inc.","CA","Healthcare Provider","15316","04/07/2023","Hacking/IT Incident","Email","No",""
"Gretna Family Health","NE","Healthcare Provider","845","04/07/2023","Hacking/IT Incident","Network Server","No",""
"St. Luke's Health System, Ltd. ","ID","Healthcare Provider","15246","04/06/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM","PA","Health Plan","13240","04/05/2023","Hacking/IT Incident","Email","No",""
"WellBe Senior Medical, LLC","IL","Business Associate","42020","04/04/2023","Hacking/IT Incident","Network Server, Other","Yes",""
"banis plastci surgery","KY","Healthcare Provider","4498","04/04/2023","Unauthorized Access/Disclosure","Email","No",""
"Chippewa County","WI","Healthcare Provider","842","04/04/2023","Hacking/IT Incident","Network Server","No",""
"Integrative Health of Utah, PLLC","UT","Healthcare Provider","600","04/03/2023","Theft","Electronic Medical Record, Paper/Films","No",""
"Southwest Healthcare Services","ND","Healthcare Provider","15996","04/01/2023","Hacking/IT Incident","Network Server","No",""
"Tallahassee Memorial Healthcare, Inc.","FL","Healthcare Provider","20376","03/31/2023","Hacking/IT Incident","Network Server","No",""
"Monument, Inc.","NY","Business Associate","108584","03/31/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"WellBe Senior Medical, LLC","IL","Healthcare Provider","19567","03/30/2023","Hacking/IT Incident","Network Server","No",""
"UHS of Delaware, Inc. ","PA","Business Associate","40290","03/29/2023","Hacking/IT Incident","Email","Yes",""
"Nonstop Administration and Insurance Services, Inc.","PA","Business Associate","8571","03/27/2023","Hacking/IT Incident","Network Server","Yes",""
"American Pain and Wellness, PLLC","TX","Healthcare Provider","7457","03/24/2023","Hacking/IT Incident","Network Server","No",""
"NewBridge Services","NJ","Healthcare Provider","1457","03/24/2023","Hacking/IT Incident","Network Server","No",""
"Adams County Children and Youth Services","PA","Healthcare Provider","722","03/24/2023","Hacking/IT Incident","Email","No",""
"Atlantic General Hospital","MD","Healthcare Provider","26591","03/24/2023","Hacking/IT Incident","Network Server","No",""
"New Medical Healthcare","KS","Healthcare Provider","1557","03/22/2023","Unauthorized Access/Disclosure","Email","No",""
"McAllen Hospitals, LP d/b/a South Texas Health System","TX","Healthcare Provider","500","03/20/2023","Hacking/IT Incident","Email","No",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","54396","03/20/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Integrated Supports for Living, Inc.","OR","Healthcare Provider","1161","03/20/2023","Hacking/IT Incident","Network Server","No",""
"Majestic Care Middletown Assisted Living LLC","IN","Healthcare Provider","2636","03/17/2023","Hacking/IT Incident","Network Server","No",""
"OU Medicine, Inc. d/b/a OU Health","OK","Healthcare Provider","3013","03/17/2023","Theft","Laptop","No",""
"Health Plan of San Mateo","CA","Health Plan","11894","03/17/2023","Hacking/IT Incident","Email","No",""
"Associates in Dermatology","KY","Healthcare Provider","8517","03/17/2023","Hacking/IT Incident","Network Server","Yes",""
"Community Health Systems Professional Services Corporations (CHSPSC), LLC","TN","Business Associate","962884","03/16/2023","Hacking/IT Incident","Network Server","Yes",""
"UC San Diego Health ","CA","Healthcare Provider","23000","03/16/2023","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"AllCare Plus Pharmacy, Inc.","MA","Healthcare Provider","757","03/15/2023","Hacking/IT Incident","Email","No",""
"Healthy Options dba Postal Prescription Services – Kroger ","OH","Healthcare Provider","82466","03/15/2023","Unauthorized Access/Disclosure","Network Server","No",""
"California Department of Health Care Services","CA","Health Plan","6460","03/14/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Top of the World Ranch Treatment Center","IL","Healthcare Provider","1980","03/14/2023","Hacking/IT Incident","Email","No",""
"NorthStar Emergency Medical Services","AL","Healthcare Provider","82450","03/14/2023","Hacking/IT Incident","Network Server","No",""
"Beach District Surgery Center","CA","Healthcare Provider","3560","03/13/2023","Hacking/IT Incident","Email","Yes",""
"Bone & Joint Clinic, S.C.","WI","Healthcare Provider","105094","03/13/2023","Hacking/IT Incident","Network Server","No",""
"ZOLL Services LLC ","MA","Healthcare Provider","997097","03/10/2023","Hacking/IT Incident","Network Server","No",""
"Florida Medical Clinic, LLC","FL","Healthcare Provider","94132","03/10/2023","Hacking/IT Incident","Network Server","No",""
"Colquitt Complete Care, LLC","GA","Healthcare Provider","1282","03/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Department of Economic Security, Division of Developmental Disabilities","AZ","Healthcare Provider","857","03/10/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Beacon Health System","IN","Healthcare Provider","3117","03/10/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Community Health Centers of Greater Dayton","OH","Healthcare Provider","516","03/08/2023","Unauthorized Access/Disclosure","Email","No",""
"The M K Morse Company's Health Plan","OH","Health Plan","1378","03/08/2023","Hacking/IT Incident","Network Server","No",""
"SundaySky, Inc.","NY","Business Associate","37095","03/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Trinity Health","MI","Business Associate","45350","03/06/2023","Hacking/IT Incident","Email","Yes",""
"Northeast Surgical Group, PC","MI","Healthcare Provider","15298","03/06/2023","Hacking/IT Incident","Network Server","No",""
"Denver Public Schools Medical Plans","CO","Health Plan","35068","03/03/2023","Hacking/IT Incident","Network Server","No",""
"Codman Square Health Center","MA","Healthcare Provider","10161","03/01/2023","Hacking/IT Incident","Network Server","No",""
"Cerebral, Inc","DE","Business Associate","3179835","03/01/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Texas Medical Liability Trust and its affiliates","TX","Business Associate","600","03/01/2023","Hacking/IT Incident","Network Server","Yes",""
